"AÑO","MES","LÍNEA FONDER","TIPO DE PERSONA","TAMAÑO DE EMPRESA","SECTOR ECONÓMICO","MUNICIPIO","DESTINO","MONTO OTORGADO ($)","PLAZO","GENERO DEL SOLICITANTE","SITUACIÓN DEL SOLICITANTE","DESCENDENCIA DEL SOLICITANTE"
"2,024","9","1","Persona Juridica","Microempresa","Manufactura","Cali","Capital de trabajo","2,500,000","24","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Manufactura","Cali","Capital de trabajo","5,000,000","36","Mujer","Madre cabeza de hogar","Indigena"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buenaventura","Capital de trabajo","4,000,000","36","Mujer","Personas con necesidades especiales","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buenaventura","Capital de trabajo","2,000,000","24","Mujer","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Capital de trabajo","3,000,000","36","Mujer","Madre cabeza de hogar","Otros"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buenaventura","Capital de trabajo","4,000,000","36","Hombre","Desplazado por conflicto armado","Otros"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Inversión","500,000","1","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Inversión","5,200,000","36","Mujer","Madre cabeza de hogar","Afrodescendiente"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Inversión","5,200,000","12","Hombre","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Educación","Buenaventura","Capital de trabajo","3,500,000","36","Mujer","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Salud","Cali","Pago de deudas","5,000,000","6","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Salud","Buenaventura","Capital de trabajo","2,000,000","36","Mujer","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Construcción","Buenaventura","Capital de trabajo","2,500,000","36","Mujer","Madre cabeza de hogar","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Construcción","Cali","Capital de trabajo","5,100,000","36","Hombre","Padre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Construcción","Cali","Inversión","4,000,000","36","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Palmira","Capital de trabajo","5,100,000","36","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","5,000,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Inversión","4,000,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Pago de deudas","3,000,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Inversión","5,200,000","36","Mujer","Madre cabeza de hogar","Afrodescendiente"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Inversión","5,200,000","15","Hombre","Ninguno","Afrodescendiente"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Buenaventura","Capital de trabajo","5,000,000","24","Mujer","Ninguno","Afrodescendiente"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Inversión","5,200,000","36","Hombre","Ninguno","Caucásico"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buenaventura","Capital de trabajo","1,500,000","36","Hombre","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Inversión","5,200,000","36","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Capital de trabajo","4,000,000","36","Hombre","Otros","Otros"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","5,000,000","24","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Buenaventura","Inversión","2,000,000","36","Mujer","Ninguno","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Inversión","4,000,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Inversión","5,200,000","24","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Pradera","Capital de trabajo","5,200,000","35","Hombre","Otros","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Pago de deudas","5,200,000","36","Hombre","Otros","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","5,200,000","36","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Pago de deudas","5,100,000","36","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","5,000,000","36","Mujer","Otros","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buenaventura","Capital de trabajo","5,000,000","36","Hombre","Desplazado por conflicto armado","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","5,200,000","36","Hombre","Padre cabeza de hogar","Mestizo"
